Order,Family,Species,Asymmetry,Ellipticity,AvgLength_,Images_Number,Eggs_number
ACCIPITRIFORMES,Accipitridae,Accipiter.badius,0.1378,0.3435,3.8642,1,2
ACCIPITRIFORMES,Accipitridae,Accipiter_cooperii,0.0937,0.2715,4.9008,27,103
ACCIPITRIFORMES,Accipitridae,Accipiter_gentilis,0.1114,0.3186,5.9863,7,18
ACCIPITRIFORMES,Accipitridae,Accipiter_nisus,0.0808,0.2391,4.0355,13,61
ACCIPITRIFORMES,Accipitridae,Accipiter_striatus,0.0749,0.2543,3.8700,15,57
ACCIPITRIFORMES,Accipitridae,Aegypius_monachus,0.0700,0.3476,8.9076,1,1
ACCIPITRIFORMES,Accipitridae,Aquila_chrysaetos,0.1192,0.3058,7.7318,191,391
ACCIPITRIFORMES,Accipitridae,Aquila_rapax,0.1250,0.3518,6.8420,1,2
ACCIPITRIFORMES,Accipitridae,Buteo_albicaudatus,0.0818,0.2840,5.8095,7,17
ACCIPITRIFORMES,Accipitridae,Buteo_brachyurus,0.1396,0.2371,5.5972,2,4
ACCIPITRIFORMES,Accipitridae,Buteo_buteo,0.0704,0.2610,5.6364,5,12
ACCIPITRIFORMES,Accipitridae,Buteo_jamaicensis,0.0844,0.2802,6.0986,130,345
ACCIPITRIFORMES,Accipitridae,Buteo_lagopus,0.0988,0.2700,5.7285,6,21
ACCIPITRIFORMES,Accipitridae,Buteo_lineatus,0.0906,0.2677,5.5412,72,219
ACCIPITRIFORMES,Accipitridae,Buteo_nitidus,0.0761,0.2625,5.3464,3,6
ACCIPITRIFORMES,Accipitridae,Buteo_platypterus,0.1045,0.2498,5.1368,6,18
ACCIPITRIFORMES,Accipitridae,Buteo_regalis,0.1035,0.2849,6.3294,15,56
ACCIPITRIFORMES,Accipitridae,Buteo_swainsoni,0.0972,0.2998,5.7525,27,69
ACCIPITRIFORMES,Accipitridae,Buteogallus_anthracinus,0.0845,0.2709,5.8357,4,8
ACCIPITRIFORMES,Accipitridae,Circus_cyaneus,0.1078,0.2998,4.6828,19,78
ACCIPITRIFORMES,Accipitridae,Elanoides_forficatus,0.1067,0.2538,4.6316,3,6
ACCIPITRIFORMES,Accipitridae,Elanus_leucurus,0.1048,0.3294,4.4136,62,232
ACCIPITRIFORMES,Accipitridae,Gyps_fulvus,0.1322,0.3838,10.1228,1,2
ACCIPITRIFORMES,Accipitridae,Haliaeetus_albicilla,0.1349,0.2862,7.8854,3,4
ACCIPITRIFORMES,Accipitridae,Haliaeetus_leucocephalus,0.1076,0.3081,7.6610,18,38
ACCIPITRIFORMES,Accipitridae,Haliaeetus_leucogaster,0.0601,0.2223,6.5452,1,1
ACCIPITRIFORMES,Accipitridae,Haliaeetus_leucoryphus,0.1196,0.3080,7.4891,1,2
ACCIPITRIFORMES,Accipitridae,Haliastur_indus,0.0863,0.3236,5.5699,1,2
ACCIPITRIFORMES,Accipitridae,Hieraaetus_pennatus,0.1260,0.2847,5.9398,1,2
ACCIPITRIFORMES,Accipitridae,Ichthyophaga_ichthyaetus,0.1269,0.2672,6.3603,1,2
ACCIPITRIFORMES,Accipitridae,Ictinia_mississippiensis,0.0899,0.2291,4.1195,7,13
ACCIPITRIFORMES,Accipitridae,Milvus_migrans,0.1145,0.3064,5.6094,3,7
ACCIPITRIFORMES,Accipitridae,Neophron_percnopterus,0.0728,0.3321,7.0769,2,4
ACCIPITRIFORMES,Accipitridae,Parabuteo_unicinctus,0.1021,0.2992,5.5155,10,34
ACCIPITRIFORMES,Accipitridae,Rostrhamus_sociabilis,0.0647,0.2521,4.5113,2,6
ACCIPITRIFORMES,Accipitridae,Sarcogyps_calvus,0.1210,0.2807,9.0005,2,2
ACCIPITRIFORMES,Cathartidae,Cathartes_aura,0.1223,0.4561,7.2539,28,51
ACCIPITRIFORMES,Cathartidae,Coragyps_atratus,0.1684,0.5150,7.9356,14,28
ACCIPITRIFORMES,Cathartidae,Gymnogyps_californianus,0.0991,0.6810,11.8946,3,3
ACCIPITRIFORMES,Pandionidae,Pandion_haliaetus,0.1135,0.3446,6.2316,76,229
ACCIPITRIFORMES,Sagittariidae,Sagittarius_serpentarius,0.2731,0.4811,8.9445,1,1
ANSERIFORMES,Anatidae,Aix_sponsa,0.0700,0.3415,5.2033,6,43
ANSERIFORMES,Anatidae,Anas_acuta,0.1079,0.4264,5.5042,32,243
ANSERIFORMES,Anatidae,Anas_americana,0.0985,0.3903,5.1476,2,17
ANSERIFORMES,Anatidae,Anas_bahamensis,0.1027,0.3823,5.1167,2,15
ANSERIFORMES,Anatidae,Anas_clypeata,0.0976,0.4350,5.5683,6,48
ANSERIFORMES,Anatidae,Anas_crecca,0.0905,0.3759,4.5389,9,79
ANSERIFORMES,Anatidae,Anas_cyanoptera,0.0867,0.3809,4.7390,20,189
ANSERIFORMES,Anatidae,Anas_discors,0.0881,0.3517,4.5562,4,35
ANSERIFORMES,Anatidae,Anas_fulvigula,0.0464,0.4041,5.8302,1,9
ANSERIFORMES,Anatidae,Anas_penelope,0.1109,0.3930,5.3517,2,17
ANSERIFORMES,Anatidae,Anas_platyrhynchos,0.0980,0.4012,5.7726,19,161
ANSERIFORMES,Anatidae,Anas_poecilorhyncha,0.0385,0.2748,5.2117,1,9
ANSERIFORMES,Anatidae,Anas_rubripes,0.0679,0.4191,6.0883,1,6
ANSERIFORMES,Anatidae,Anas_strepera,0.0729,0.3895,5.4852,7,65
ANSERIFORMES,Anatidae,Anser_albifrons,0.1382,0.5313,7.5785,3,9
ANSERIFORMES,Anatidae,Anser_brachyrhynchus,0.1121,0.5340,8.3231,2,12
ANSERIFORMES,Anatidae,Aythya_affinis,0.0999,0.4449,5.6243,7,59
ANSERIFORMES,Anatidae,Aythya_americana,0.0752,0.4246,5.2676,12,104
ANSERIFORMES,Anatidae,Aythya_collaris,0.0447,0.4049,5.5571,2,18
ANSERIFORMES,Anatidae,Aythya_marila,0.0898,0.4481,6.2056,3,27
ANSERIFORMES,Anatidae,Aythya_valisineria,0.0803,0.4413,6.2596,3,26
ANSERIFORMES,Anatidae,Branta_bernicla,0.1340,0.5066,6.9952,5,26
ANSERIFORMES,Anatidae,Branta_canadensis,0.1202,0.5178,7.7142,7,37
ANSERIFORMES,Anatidae,Bucephala_albeola,0.1011,0.4011,4.9665,1,14
ANSERIFORMES,Anatidae,Bucephala_clangula,0.0966,0.3842,6.0448,3,28
ANSERIFORMES,Anatidae,Bucephala_islandica,0.1291,0.4044,6.0698,3,23
ANSERIFORMES,Anatidae,Chen_canagica,0.1332,0.5027,7.6203,6,25
ANSERIFORMES,Anatidae,Chloephaga_hybrida,0.1963,0.5124,8.3002,3,9
ANSERIFORMES,Anatidae,Chloephaga_picta,0.1533,0.5221,8.0225,3,7
ANSERIFORMES,Anatidae,Clangula_hyemalis,0.1272,0.3962,5.2295,10,77
ANSERIFORMES,Anatidae,Cygnus_atratus,0.1612,0.6657,9.7472,1,5
ANSERIFORMES,Anatidae,Cygnus_buccinator,0.0354,0.5479,11.3313,1,2
ANSERIFORMES,Anatidae,Cygnus_columbianus,0.0933,0.6039,9.1690,4,19
ANSERIFORMES,Anatidae,Cygnus_cygnus,0.1225,0.5273,11.6695,1,1
ANSERIFORMES,Anatidae,Cygnus_olor,0.0935,0.5440,11.4329,2,5
ANSERIFORMES,Anatidae,Dendrocygna_bicolor,0.0874,0.3138,5.1008,5,39
ANSERIFORMES,Anatidae,Dendrocygna_viduata,0.1009,0.3770,5.0639,1,13
ANSERIFORMES,Anatidae,Histrionicus_histrionicus,0.1180,0.3655,5.6550,5,26
ANSERIFORMES,Anatidae,Melanitta_fusca,0.1715,0.4803,7.1403,3,16
ANSERIFORMES,Anatidae,Melanitta_nigra,0.2068,0.5117,6.5706,1,5
